,title,jobSkill,source
4696,"Software-defined networking (SDN) technology is an approach to network management that enables dynamic, programmatically efficient network configuration in order to improve network performance and monitoring, making it more like cloud computing than traditional network management. SDN is meant to address the fact that the static architecture of traditional networks is decentralized and complex while current networks require more flexibility and easy troubleshooting. SDN attempts to centralize network intelligence in one network component by disassociating the forwarding process of network packets (data plane) from the routing process (control plane). The control plane consists of one or more controllers, which are considered the brain of the SDN network where the whole intelligence is incorporated. However, the intelligent centralization has its own drawbacks when it comes to security, scalability and elasticity and this is the main issue of SDN.SDN was commonly associated with the OpenFlow protocol (for remote communication with network plane elements for the purpose of determining the path of network packets across network switches) since the latter's emergence in 2011. However, since 2012 OpenFlow for many companies is no longer an exclusive solution, they added proprietary techniques. These include Cisco Systems' Open Network Environment and Nicira's network virtualization platform.
SD-WAN applies similar technology to a wide area network (WAN).SDN technology is currently available for industrial control applications that require extremely fast failover, called Operational Technology (OT) Software Defined Networking (SDN).  OT SDN technology is an approach to manage network access control and Ethernet packet delivery on environmentally hardened hardware for critical infrastructure networks. OT SDN abstracts the management of the control plane from the switches centralizing it in the flow controller and applies SDN as the underlay control plane in the switch. The legacy control plane is removed simplifying the switch while centralizing the control plane management. The common control plane standard used in OT SDN is OpenFlow making it interoperable with other SDN solutions with the difference being that OpenFlow is the only control plane in the switch and that the switch retains flows through power cycles and all flows and redundancy are proactively traffic engineered so the switches can perform the forwarding they are configured to perform with or without the flow controller online. OT SDN provides advantages for industrial networks in the form of performance, cybersecurity and situational awareness. Performance advantages are achieved through proactively traffic engineering contingencies using Fast Failover groups in OpenFlow resulting in network healing from link or switch failures in microseconds not milliseconds like spanning tree technology.  Another performance advantage is that loop mitigation is done through traffic engineered path planning and not blocked ports allowing the system owner to actively use all ports. Cybersecurity advantages of OT SDN is that the switches are deny by default and flows are the rules that allow traffic to be forwarded. This provides strong network access control where packets can be inspected from layer 1 through layer 4 of the OSI model at each hop. Legacy control plane security vulnerabilities are removed since the legacy control plane no longer exists. MAC table spoofing and BPDU spoofing are no longer possible because neither exist in the OT SDN switches. Pivoting and network reconnaissance no longer work with proper flow programming as only allowed traffic is approved to be forwarded combining the physical location and path with the virtual packet filtering. Situational awareness advantages of OT SDN provide the network owner with the visibility to what devices are on their network and what conversations can and are happening and who those conversations can happen between.  OT SDN network technology allows Ethernet networks to meet the demanding communication message exchange requirements of measurement and control for critical infrastructure and simply provides the system owner control over what devices can connect to the network, where those devices can connect, and what conversations each device can have.
Research of SDN continues as many emulators are being developed for research purposes, like vSDNEmul, EstiNet, Mininet etc.SunGard NotiFind, Remote install server software, IBM z/OS operating systems",Network operation system software,skillDescription
4788,"Mobile app development is the act or process by which a mobile app is developed for mobile devices, such as personal digital assistants, enterprise digital assistants or mobile phones. These software applications are designed to run on mobile devices, such as a smartphone or tablet computer. These applications can be pre-installed on phones during manufacturing platforms, or delivered as web applications using server-side or client-side processing (e.g., JavaScript) to provide an ""application-like"" experience within a Web browser. Application software developers also must consider a long array of screen sizes, hardware specifications, and configurations because of intense competition in mobile software and changes within each of the platforms. Mobile app development has been steadily growing, in revenues and jobs created. A 2013 analyst report estimates there are 529,000 direct app economy jobs within the EU then 28 members (including the UK), 60 percent of which are mobile app developers.As part of the development process, mobile user interface (UI) design is also essential in the creation of mobile apps. Mobile UI considers constraints, contexts, screen, input, and mobility as outlines for design. The user is often the focus of interaction with their device, and the interface entails components of both hardware and software. User input allows for the users to manipulate a system, and device's output allows the system to indicate the effects of the users' manipulation. Mobile UI design constraints include limited attention and form factors, such as a mobile device's screen size for a user's hand(s). Mobile UI contexts signal cues from user activity, such as location and scheduling that can be shown from user interactions within a mobile app. Overall, mobile UI design's goal is mainly for an understandable, user-friendly interface. The UI of mobile apps should: consider users' limited attention, minimize keystrokes, and be task-oriented with a minimum set of functions. This functionality is supported by mobile enterprise application platforms or integrated development environments (IDEs).
Mobile UIs, or front-ends, rely on mobile back-ends to support access to enterprise systems.  The mobile back-end facilitates data routing, security, authentication, authorization, working off-line, and service orchestration. This functionality is supported by a mix of middleware components including mobile app server, mobile backend as a service (MBaaS), and service-oriented architecture (SOA) infrastructure.Mobile application software, Microsoft ActiveSync, Mag+, Tablet application software",Mobile operator specific application software,skillDescription
4803,"Pitney Bowes Inc. is an American technology company most known for its postage meters and other mailing equipment and services, and with expansions into e-commerce, software, and other technologies. The company was founded by Arthur Pitney, who invented the first commercially available postage meter, and Walter Bowes as the Pitney Bowes Postage Meter Company on April 23, 1920.Pitney Bowes provides customer engagement, customer information management, global e-commerce, location intelligence, and mailing and shipping services to approximately 1 million customers in about 100 countries around the world in 2016. The company is a certified ""work-share partner"" of the United States Postal Service, and helps the agency sort and process 15 billion pieces of mail annually. Pitney Bowes has also commissioned surveys related to international e-commerce.Pitney Bowes is based in Stamford, Connecticut, and operates a 300,000-square-foot Global Technology Center for manufacturing and engineering in Danbury, Connecticut. The company has 33 operating centers throughout the United States, and additional offices in Hatfield (United Kingdom), New Delhi, Tokyo and Bielsko-Biala (Poland). As of December 2016, Pitney Bowes employed approximately 14,000 people worldwide.Shipment processing software, Postal Explorer",Mailing and shipping software,skillDescription
4816,"In computing, the term remote desktop refers to a software or operating system feature that allows a personal computer's desktop environment to be run remotely on one system (usually a PC, but the concept applies equally to a server), while being displayed on a separate client device. Remote desktop applications have varying features. Some allow attaching to an existing user's session (i.e., a running desktop) and ""remote controlling"", either displaying the remote control session or blanking the screen. Taking over a desktop remotely is a form of remote administration.Cisco Systems CiscoWorks, Element management software, Cisco Systems CiscoWorks LAN Management Solution, Hewlett-Packard HP Network Node Manager, ifconfig, ipconfig, Aruba Networks AirWave, Asset management administration software, Cisco Systems Wireless Control System WCS, Infoblox, Lucent VitalSuite, NetIQ, Netreo OmniCenter, Network documentation software, Riverbed Technology, Simple network management protocol SNMP software, Network management software, Redgate SQL Server, Dynamic host configuration protocol DHCP, Network address management software, Network shutdown software, Software distribution management software, Network flow modeling software",Administration software,skillDescription
4820,"A virtual private network service, or VPN service, provides a proxy server to users to bypass Internet censorship such as geoblocking or users who want to protect their communications against data profiling or MitM attacks on hostile networks.
A wide variety of entities provide ""VPNs"" for several purposes. But depending on the provider and the application, they do not always create a true private network. Instead, many providers simply provide an Internet proxy that uses VPN technologies such as OpenVPN or WireGuard. Commercial VPN services are often used by those wishing to disguise or obfuscate their physical location or IP address, typically as a means to evade Internet censorship or geo-blocking.
Providers often market VPN services as privacy-enhancing, citing security features, such as encryption, from the underlying VPN technology. However, users must consider that when the transmitted content is not encrypted before entering the proxy, that content is visible at the receiving endpoint (usually the VPN service provider's site) regardless of whether the VPN tunnel itself is encrypted for the inter-node transport. The only secure VPN is where the participants have oversight at both ends of the entire data path or when the content is encrypted before it enters the tunnel.
On the client side, configurations intended to use VPN services as proxies are not conventional VPN configurations. However, they do typically utilize the operating system's VPN interfaces to capture the user's data to send to the proxy. This includes virtual network adapters on computer OSes and specialized ""VPN"" interfaces on mobile operating systems. A less common alternative is to provide a SOCKS proxy interface.
In computer magazines, VPN services are typically judged on connection speeds; privacy protection, including privacy at signup and grade of encryption; server count and locations; interface usability; and cost.
In order to determine the degree of privacy and anonymity, various computer magazines, such as PC World and PC Magazine, also take the provider's own guarantees and its reputation among news items into consideration.Users are commonly exposed to misinformation on the VPN services market, which makes it difficult for them to tell apart advertisements and facts.Intrusion prevention system IPS, Virtual private networking VPN software, HP Fortify, Intrusion detection system IDS, ISS RealSecure, Network and system vulnerability assessment software, Network security auditing software, Security incident management software, Websense Data Loss Prevention, IBM Security Network Intrusion Prevention System, NIKSUN NetDetector, Sonicwall SonicOS Enhanced, Computer intrusion detection systems, Internet Protocol Security IPSEC, LogRhythm, Microsoft Forefront Threat Management Gateway, Risk assessment software, Virtual local area network management software, Database security software, OpenService Open NerveCenter, CA SiteMinder, Vormetric Application Encryption, CyberArk, Cisco Systems VPN Client, Coordinated incident management system CIMS software",Network security or virtual private network VPN management software,skillDescription
4838,"A gateway is a piece of networking hardware or software used in telecommunications for telecommunications networks that allows data to flow from one discrete network to another. Gateways are distinct from routers or switches in that they communicate using more than one protocol to connect multiple networks and can operate at any of the seven layers of the open systems interconnection model (OSI).
The term gateway can also loosely refer to a computer or computer program configured to perform the tasks of a gateway, such as a default gateway or router, and in the case of HTTP, gateway is also often used as a synonym for reverse proxy.Secure web gateway software, Microsoft Windows Terminal Services Access Manager",Gateway software,skillDescription
5979,"A software licensing audit or software compliance audit is an important sub-set of software asset management and component of corporate risk management.  When a company is unaware of what software is installed and being used on its machines, it can result in multiple layers of exposure.The primary benefits a corporation receives from performing a software licensing audit are greater control and various forms of cost savings.
The audit is used both as an efficiency mechanism to improve software distribution within an organisation and as a preventative mechanism to avoid copyright infringement prosecution by software companies. Software licensing audits are an important part of software asset management, but also serve as a method of corporate reputation management by ensuring that the company is operating within legal and ethical guidelines.
Software audits should not be confused with code audits, which are carried out on the source code of a software project.PCG Software Virtual Examiner",Audit software,skillDescription
5993,"In computing, a directory service or name service maps the names of network resources to their respective network addresses. It is a shared information infrastructure for locating, managing, administering and organizing everyday items and network resources, which can include volumes, folders, files, printers, users, groups, devices, telephone numbers and other objects. A directory service is a critical component of a network operating system. A directory server or name server is a server which provides such a service. Each resource on the network is considered an object by the directory server. Information about a particular resource is stored as a collection of attributes associated with that resource or object.
A directory service defines a namespace for the network. The namespace is used to assign a name (unique identifier) to each of the objects. Directories typically have a set of rules determining how network resources are named and identified, which usually includes a requirement that the identifiers be unique and unambiguous. When using a directory service, a user does not have to remember the physical address of a network resource; providing a name locates the resource. Some directory services include access control provisions, limiting the availability of directory information to authorized users.Active directory software, Berkeley Internet Domain Name BIND, Domain name system DNS, Network directory services software, Microsoft Active Directory, Novell eDirectory, Network addressable storage NAS software, Microsoft DNS Server",Internet directory services software,skillDescription
6010,"Network-attached storage (NAS) is a file-level (as opposed to block-level storage) computer data storage server connected to a computer network providing data access to a heterogeneous group of clients. NAS is specialized for serving files either by its hardware, software, or configuration. It is often manufactured as a computer appliance –  a purpose-built specialized computer. NAS systems are networked appliances that contain one or more storage drives, often arranged into logical, redundant storage containers or RAID. Network-attached storage removes the responsibility of file serving from other servers on the network. They typically provide access to files using network file sharing protocols such as NFS, SMB, or AFP. From the mid-1990s, NAS devices began gaining popularity as a convenient method of sharing files among multiple computers. Potential benefits of dedicated network-attached storage, compared to general-purpose servers also serving files, include faster data access, easier administration, and simple configuration.The hard disk drives with ""NAS"" in their name are functionally similar to other drives but may have different firmware, vibration tolerance, or power dissipation to make them more suitable for use in RAID arrays, which are often used in NAS implementations. For example, some NAS versions of drives support a command extension to allow extended error recovery to be disabled. In a non-RAID application, it may be important for a disk drive to go to great lengths to successfully read a problematic storage block, even if it takes several seconds. In an appropriately configured RAID array, a single bad block on a single drive can be recovered completely via the redundancy encoded across the RAID set. If a drive spends several seconds executing extensive retries it might cause the RAID controller to flag the drive as ""down"" whereas if it simply replied promptly that the block of data had a checksum error, the RAID controller would use the redundant data on the other drives to correct the error and continue without any problem. Such a ""NAS"" SATA hard disk drive can be used as an internal PC hard drive, without any problems or adjustments needed, as it simply supports additional options and may possibly be built to a higher quality standard (particularly if accompanied by a higher quoted MTBF figure and higher price) than a regular consumer drive.Amazon Simple Storage Service S3, EMC Symmetrix DMX, Storage area network SAN software, Media storage management software, Network storage software, Storage management software",Storage networking software,skillDescription
6058,"A lossy data conversion method is one where converting data between one storage format and another displays data in a form that is ""close enough"" to be useful, but may differ in some ways from the original.  This type of conversion is used frequently between software packages that rely on different storage techniques.  In many cases, a software package such as Microsoft Word will enable a document stored in one format to be saved as another, in particular HTML.  The document saved in the lossy format may look identical, but the conversion can also cause some loss of fidelity or functionality.Data conversion software, Cyclone, BOSS Didger, Video file conversion software, AlgoLab Raster to Vector Conversion Toolkit, GTX RastorCAD, Portable document file creation software, Potrace, Trix TracTrix",Data conversion software,skillDescription
6062,"In software engineering, a software design pattern is a general, reusable solution to a commonly occurring problem within a given context in software design. It is not a finished design that can be transformed directly into source or machine code. Rather, it is a description or template for how to solve a problem that can be used in many different situations. Design patterns are formalized best practices that the programmer can use to solve common problems when designing an application or system.
Object-oriented design patterns typically show relationships and interactions between classes or objects, without specifying the final application classes or objects that are involved. Patterns that imply mutable state may be unsuited for functional programming languages. Some patterns can be rendered unnecessary in languages that have built-in support for solving the problem they are trying to solve, and object-oriented patterns are not necessarily suitable for non-object-oriented languages.
Design patterns may be viewed as a structured approach to computer programming intermediate between the levels of a programming paradigm and a concrete algorithm.
In a 2020 review study, Wedyan and Abufakher investigate design patterns and software quality and conclude: ""Our study has shown that the primary studies provide an empirical evidence on the positive effect of documentation of designs pattern instances on program comprehension, and therefore, maintainability. While this result is not surprising, it has, however, two indications. First, developers should pay more effort to add such documentation, even if in the form of simple comments in the source code. Second, when comparing results of different studies, the effect of documentation has to be considered.""Diagramming software, Omni Group OmniGraffle, MatchWare MindView, Mind mapping software, MindGenius, MPI Micro Planner X-Pert, NovaMind Merlin Project Manager, Block diagram software, 100 Plus Hatch Pattern Library, CaseSoft TimeMap, Tactile graphic production kits software",Pattern design software,skillDescription
6278,"A decompiler is a computer program that translates an executable file to a high-level source file which can be recompiled successfully. It is therefore the opposite of a compiler, which translates a source file in to an executable. Decompilers are usually unable to perfectly reconstruct the original source code, thus frequently will produce obfuscated code. Nonetheless, decompilers remain an important tool in the reverse engineering of computer software.Time sharing option TSO software, Greenhills Ada compilers, Low-level virtual machine LLVM compilers, Polaris parallelizing compilers, Command interpreters, Code generator software, Compilers, Decompilers, Incremental compiler software, Inline code expander software, Interpreter software, Just-in-time compiler, Mixed code generator, One pass compiler software, Partial class generator software, Retargetable compiler, Stage compiler, Threaded code compiler, Cadence Encounter RTL Compiler, Rabbit Semiconductor Dynamic C",Compiler and decompiler software,skillDescription
6292,"The Session Initiation Protocol (SIP) is a signaling protocol used for initiating, maintaining, and terminating real-time sessions that include voice, video and messaging applications. SIP is used for signaling and controlling multimedia communication sessions in applications of Internet telephony for voice and video calls, in private IP telephone systems, in instant messaging over Internet Protocol (IP) networks as well as mobile phone calling over LTE (VoLTE).
The protocol defines the specific format of messages exchanged and the sequence of communications for cooperation of the participants. SIP is a text-based protocol, incorporating many elements of the Hypertext Transfer Protocol (HTTP) and the Simple Mail Transfer Protocol (SMTP). A call established with SIP may consist of multiple media streams, but no separate streams are required for applications, such as text messaging, that exchange data as payload in the SIP message.
SIP works in conjunction with several other protocols that specify and carry the session media. Most commonly, media type and parameter negotiation and media setup are performed with the Session Description Protocol (SDP), which is carried as payload in SIP messages.  SIP is designed to be independent of the underlying transport layer protocol and can be used with the User Datagram Protocol (UDP), the Transmission Control Protocol (TCP), and the Stream Control Transmission Protocol (SCTP). For secure transmissions of SIP messages over insecure network links, the protocol may be encrypted with Transport Layer Security (TLS). For the transmission of media streams (voice, video) the SDP payload carried in SIP messages typically employs the Real-time Transport Protocol (RTP) or the Secure Real-time Transport Protocol (SRTP).Voice over internet protocol VoIP system software, Multiprotocol Label Switching MPLS, Open Shortest Path First OSPF, Session Initiation Protocol SIP, Open source routing protocols OSPF, File transfer protocol FTP software, File transfer protocol FTP client software, ProjectSend, Internet Protocol Television Systems",Internet protocol IP multimedia subsystem software,skillDescription
6415,"The Apache HTTP Server, colloquially called Apache ( ə-PATCH-ee), is a free and open-source cross-platform web server software, released under the terms of Apache License 2.0. Apache is developed and maintained by an open community of developers under the auspices of the Apache Software Foundation.
The vast majority of Apache HTTP Server instances run on a Linux distribution, but current versions also run on Microsoft Windows, OpenVMS, and a wide variety of Unix-like systems. Past versions also ran on NetWare, OS/2 and other operating systems, including ports to mainframes.Originally based on the NCSA HTTPd server, development of Apache began in early 1995 after work on the NCSA code stalled. Apache played a key role in the initial growth of the World Wide Web, quickly overtaking NCSA HTTPd as the dominant HTTP server. In 2009, it became the first web server software to serve more than 100 million websites.As of January 2021, Netcraft estimated that Apache served 24.63% of the million busiest websites, while Nginx served 23.21% and Microsoft is in third place at 6.85% (for some of Netcraft's other stats Nginx is ahead of Apache), while according to W3Techs, Apache is ranked first at 35.0% and Nginx second at 33.0% and Cloudflare Server third at 17.3%.Diameter, IBM Tivoli Identity Management TIM, Password management software, Remote authentication dial-in user service RADIUS software, Microsoft Forefront Identify Manager",Authentication server software,skillDescription
6626,"The following tables compare general and technical information for notable computer cluster software. This software can be grossly separated in four categories: Job scheduler, nodes management, nodes installation and integrated stack (all the above).Clustering software, Clustermatic, Parallel systems software, Cluster server software, Oracle Real Application Cluster RAC, Aster Data nCluster",Clustering software,skillDescription
6870,"Darwin is an open-source Unix-like operating system first released by Apple Inc. in 2000. It is composed of code derived from NeXTSTEP, BSD, Mach, and other free software projects' code, as well as code developed by Apple.
Darwin forms the Unix-based core set of components upon which macOS (previously OS X and Mac OS X), iOS, watchOS, tvOS, iPadOS and bridgeOS are based. It is mostly POSIX-compatible, but has never, by itself, been certified as compatible with any version of POSIX. Starting with Leopard, macOS has been certified as compatible with the Single UNIX Specification version 3 (SUSv3).Traffic shapers, Compuware dynaTrace, EMC Smarts Network Protocol Manager, Infoblox NetMRI, Network, server and operating system optimization software, OPNET APMXpert, Silver Peak, Wide area network WAN optimization software, Management information base MIB software, Operating system process control software",Network operating system enhancement software,skillDescription
7181,"A router is a networking device that forwards data packets between computer networks. Routers perform the traffic directing functions on the Internet.  Data sent through the internet, such as a web page or email, is in the form of data packets.  A packet is typically forwarded from one router to another router through the networks that constitute an internetwork (e.g. the Internet) until it reaches its destination node.A router is connected to two or more data lines from different IP networks. When a data packet comes in on one of the lines, the router reads the network address information in the packet header to determine the ultimate destination.  Then, using information in its routing table or routing policy, it directs the packet to the next network on its journey.
The most familiar type of IP routers are home and small office routers that simply forward IP packets between the home computers and the Internet. More sophisticated routers, such as enterprise routers, connect large business or ISP networks up to the powerful core routers that forward data at high speed along the optical fiber lines of the Internet backbone.Border Gateway Protocol BGP, Cisco Systems Cisco Web Cache Communication Protocol WCCP, Cisco Systems Gateway Load Balancing Protocol GLBP, Cisco Systems Hot Standby Router Protocol HSRP, Enhanced Interior Gateway Routing Protocol EIGRP, Intermediate System to Intermediate System IS-IS, Transparent Interconnection of Lots of Links TRILL, Virtual Router Redundancy Protocol VRRP, Router software, Switch software",Switch or router software,skillDescription
7319,"The Brooklyn Bridge from White Crane Systems was a data transfer enabler. Although it came with some hardware, it was the software which was the basis of the product. It also could transform the data's format.Network bridge software",Bridge software,skillDescription
7334,"Synchronous optical networking (SONET) and synchronous digital hierarchy (SDH) are standardized protocols that transfer multiple digital bit streams synchronously over optical fiber using lasers or highly coherent light from light-emitting diodes (LEDs). At low transmission rates data can also be transferred via an electrical interface. The method was developed to replace the plesiochronous digital hierarchy (PDH) system for transporting large amounts of telephone calls and data traffic over the same fiber without the problems of synchronization.
SONET and SDH, which are essentially the same, were originally designed to transport circuit mode communications (e.g., DS1, DS3) from a variety of different sources, but they were primarily designed to support real-time, uncompressed, circuit-switched voice encoded in PCM format. The primary difficulty in doing this prior to SONET/SDH was that the synchronization sources of these various circuits were different. This meant that each circuit was actually operating at a slightly different rate and with different phase. SONET/SDH allowed for the simultaneous transport of many different circuits of differing origin within a single framing protocol. SONET/SDH is not a complete communications protocol in itself, but a transport protocol (not a ‘transport’ in the OSI Model sense).
Due to SONET/SDH's essential protocol neutrality and transport-oriented features, SONET/SDH was the obvious choice for transporting the fixed length Asynchronous Transfer Mode (ATM) frames also known as cells. It quickly evolved mapping structures and concatenated payload containers to transport ATM connections. In other words, for ATM (and eventually other protocols such as Ethernet), the internal complex structure previously used to transport circuit-oriented connections was removed and replaced with a large and concatenated frame (such as STS-3c) into which ATM cells, IP packets, or Ethernet frames are placed.

Both SDH and SONET are widely used today: SONET in the United States and Canada, and SDH in the rest of the world. Although the SONET standards were developed before SDH, it is considered a variation of SDH because of SDH's greater worldwide market penetration.
SONET is subdivided into four sublayers with some factor such as the path, line, section and physical layer.
The SDH standard was originally defined by the European Telecommunications Standards Institute (ETSI), and is formalised as International Telecommunication Union (ITU) standards G.707, G.783, G.784, and G.803. The SONET standard was defined by Telcordia and American National Standards Institute (ANSI) standard T1.105. which define the set of transmission formats and transmission rates in the range above 51.840 Mbit/s.Optical network management software",Optical network management software,skillDescription
7521,"Manufacturing execution systems (MES) are computerized systems used in manufacturing to track and document the transformation of raw materials to finished goods. MES provides information that helps manufacturing decision makers understand how current conditions on the plant floor can be optimized to improve production output. MES works in real time to enable the control of multiple elements of the production process (e.g. inputs, personnel, machines and support services).
MES may operate across multiple function areas, for example: management of product definitions across the product life-cycle, resource scheduling, order execution and dispatch, production analysis and downtime management for overall equipment effectiveness (OEE), product quality, or materials track and trace.  MES creates the ""as-built"" record, capturing the data, processes and outcomes of the manufacturing process.  This can be especially important in regulated industries, such as food and beverage or pharmaceutical, where documentation and proof of processes, events and actions may be required.
The idea of MES might be seen as an intermediate step between, on the one hand, an enterprise resource planning (ERP) system, and a supervisory control and data acquisition (SCADA) or process control system on the other; although historically, exact boundaries have fluctuated. Industry groups such as MESA International—Manufacturing Enterprise Solutions Association  were created in the early 1990s in order to address the complexity, and advise on execution, of MES Systems.CA Easytrieve Report Generator",Manufacturing execution system MES software,skillDescription
7904,"Confluence is a web-based corporate wiki (collaboration software) developed by Australian software company Atlassian. Atlassian wrote Confluence in the Java programming language and first published it in 2004. Confluence Standalone comes with a built-in Tomcat web server and hsql database, and also supports other databases.The company markets Confluence as enterprise software, licensed as either on-premises software or software as a service running on AWS.Intel Data Migration Software, Patient records software for personal digital assistants PDAs",Storage media loading software,skillDescription
8471,"In computer graphics, graphics software refers to a program or collection of programs that enable a person to manipulate images or models visually on a computer.
Computer graphics can be classified into distinct categories: raster graphics and vector graphics, with further 2D and 3D variants. Many graphics programs focus exclusively on either vector or raster graphics, but there are a few that operate on both. It is simple to convert from vector graphics to raster graphics, but going the other way is harder. Some software attempts to do this.
In addition to static graphics, there are animation and video editing software. Different types of software are often designed to edit different types of graphics such as video, photos, and vector-based drawings. The exact sources of graphics may vary for different tasks, but most can read and write files.
Most graphics programs have the ability to import and export one or more graphics file formats, including those formats written for a particular computer graphics program.
The use of a swatch is a palette of active colours that are selected and rearranged by the preference of the user. A swatch may be used in a program or be part of the universal palette on an operating system. It is used to change the colour of a text or image and in video editing. Vector graphics animation can be described as a series of mathematical transformations that are applied in sequence to one or more shapes in a scene. Raster graphics animation works in a similar fashion to film-based animation, where a series of still images produces the illusion of continuous movement.
This software enables the user to create illustrations, designs, logos, 3-dimensional images, animation and pictures.Symantec Ghost Solution Suite",Computer imaging software,skillDescription
8993,"In computing, a device driver is a computer program that operates or controls a particular type of device that is attached to a computer or automaton. A driver provides a software interface to hardware devices, enabling operating systems and other computer programs to access hardware functions without needing to know precise details about the hardware being used.
A driver communicates with the device through the computer bus or communications subsystem to which the hardware connects. When a calling program invokes a routine in the driver, the driver issues commands to the device. Once the device sends data back to the driver, the driver may invoke routines in the original calling program. 
Drivers are hardware dependent and operating-system-specific. They usually provide the interrupt handling required for any necessary asynchronous time-dependent hardware interface.Microsoft DirectX, Device driver software, Screen magnification software, Screen reader software, Synapse outSPOKEN, The vOICe Learning Edition, Ai Squared ZoomText, American Printing House for the Blind Learn Keys, Axistive BigShot Screen Magnifier, Dolphin Lunar, Freedom Scientific MAGic, ZoomWare Screen Magnifier",Device drivers or system software,skillDescription
10334,"In signal processing, data compression, source coding, or bit-rate reduction is the process of encoding information using fewer bits than the original representation. Any particular compression is either lossy or lossless. Lossless compression reduces bits by identifying and eliminating statistical redundancy. No information is lost in lossless compression. Lossy compression reduces bits by removing unnecessary or less important information. Typically, a device that performs data compression is referred to as an encoder, and one that performs the reversal of the process (decompression) as a decoder.
The process of reducing the size of a data file is often referred to as data compression. In the context of data transmission, it is called source coding; encoding done at the source of the data before it is stored or transmitted. Source coding should not be confused with channel coding, for error detection and correction or line coding, the means for mapping data onto a signal.
Compression is useful because it reduces the resources required to store and transmit data. Computational resources are consumed in the compression and decompression processes. Data compression is subject to a space–time complexity trade-off. For instance, a compression scheme for video may require expensive hardware for the video to be decompressed fast enough to be viewed as it is being decompressed, and the option to decompress the video in full before watching it may be inconvenient or require additional storage. The design of data compression schemes involves trade-offs among various factors, including the degree of compression, the amount of distortion introduced (when using lossy data compression), and the computational resources required to compress and decompress the dataFile compression software, Arbor Image Draftsman, Corel WinZip",Data compression software,skillDescription
11784,"Fly-by-wire (FBW) is a system that replaces the conventional manual flight controls of an aircraft with an electronic interface. The movements of flight controls are converted to electronic signals transmitted by wires, and flight control computers determine how to move the actuators at each control surface to provide the ordered response. It can use mechanical flight control backup systems (like the Boeing 777) or use fully fly-by-wire controls.Improved fully fly-by-wire systems interpret the pilot's control inputs as a desired outcome and calculate the control surface positions required to achieve that outcome; this results in various combinations of rudder, elevator, aileron, flaps and engine controls in different situations using a closed feedback loop. The pilot may not be fully aware of all the control outputs acting to effect the outcome, only that the aircraft is reacting as expected. The fly-by-wire computers act to stabilise the aircraft and adjust the flying characteristics without the pilot's involvement and to prevent the pilot operating outside of the aircraft's safe performance envelope.Leica AEROPLAN LiDAR, Flight simulation software, Direct-to-tool software, En route descent advisor EDA, Expedite departure path EDP software, Final approach spacing tool FAST, Multi-center traffic management advisor McTMA, Traffic management advisor TMA software",Flight control software,skillDescription
16282,"Persistent Close Air Support (PCAS) is a DARPA program that seeks to demonstrate dramatic improvements in close air support (CAS) capabilities by developing a system to allow continuous CAS availability and lethality to Joint Terminal Attack Controllers (JTACs).ArduPilot Mission Planner, Bornemann Associates Flight Plan, Sabre",Aviation ground support software,skillDescription
16860,"Speech recognition is an interdisciplinary subfield of computer science and computational linguistics that develops methodologies and technologies that enable the recognition and translation of spoken language into text by computers. It is also known as automatic speech recognition (ASR), computer speech recognition or speech to text (STT). It incorporates knowledge and research in the computer science, linguistics and computer engineering fields.
Some speech recognition systems require ""training"" (also called ""enrollment"") where an individual speaker reads text or isolated vocabulary into the system. The system analyzes the person's specific voice and uses it to fine-tune the recognition of that person's speech, resulting in increased accuracy. Systems that do not use training are called ""speaker-independent"" systems. Systems that use training are called ""speaker dependent"".
Speech recognition applications include voice user interfaces such as voice dialing (e.g. ""call home""), call routing (e.g. ""I would like to make a collect call""), domotic appliance control, search key words (e.g. find a podcast where particular words were spoken), simple data entry (e.g., entering a credit card number), preparation of structured documents (e.g. a radiology report), determining speaker characteristics, speech-to-text processing (e.g., word processors or emails), and aircraft (usually termed direct voice input).
The term voice recognition or speaker identification refers to identifying the speaker, rather than what they are saying. Recognizing the speaker can simplify the task of translating speech in systems that have been trained on a specific person's voice or it can be used to authenticate or verify the identity of a speaker as part of a security process.
From the technology perspective, speech recognition has a long history with several waves of major innovations. Most recently, the field has benefited from advances in deep learning and big data. The advances are evidenced not only by the surge of academic papers published in the field, but more importantly by the worldwide industry adoption of a variety of deep learning methods in designing and deploying speech recognition systems.Voice activated software, Voice recognition software, Word recognition software, Speech recognition software, Nuance Dragon NaturallySpeaking, goQ WordQ, Courtroom Data Solutions Techlennium, Words+ E Z Keys for Windows, Cyber Records MediChart Express, ScanSoft Naturally Speaking, Voice dictation software, Crescendo Systems DigiScribe-XL, g-net solutions MTP, Nuance Dragon NaturallySpeaking Medical, General Magic Portico, DSC Pacer Interactive Voice Response System, Dictation software",Voice recognition software,skillDescription
